feature,importance
age,3105
psk_current,2631
initial_amount,1604
months_on_book,1454
payments_per_month,1424
pdn_initial,1419
days_since_last_payment,1178
available_limit,1175
available_limit_mean_6m,1172
pdn_ratio,1146
cnt_all_payments,1092
total_debt,1028
available_limit_mean_3m,968
total_debt_mean_6m,954
payment_sum_1m_std_6m,909
total_debt_mean_3m,904
payment_sum_1m_mean_6m,849
available_limit_std_6m,828
pdn_delta,816
total_debt_std_6m,769
utilization,745
total_debt_std_3m,701
payment_ratio_1m,649
available_limit_std_3m,642
total_debt_pct_change_1m,621
payment_sum_1m_mean_3m,518
payment_sum_1m_std_3m,512
total_debt_diff_1m,502
payment_mean_3m,463
available_limit_diff_1m,454
available_limit_pct_change_1m,445
payment_sum_2m,431
payment_std_3m,425
payment_sum_3m,367
payment_trend,359
payment_sum_1m,353
payment_ratio_mom,343
payment_sum_1m_pct_change_1m,310
card_commission_expired_days,283
payment_sum_1m_diff_1m,251
